Airport,Latitude,Longitude
Los Angeles International Airport (LAX),33.9416,-118.4085
John F. Kennedy International Airport (JFK),40.6413,-73.7781
Chicago O'Hare International Airport (ORD),41.9742,-87.9073
Dallas/Fort Worth International Airport (DFW),32.8998,-97.0403
Denver International Airport (DEN),39.8561,-104.6737
Hartsfield-Jackson Atlanta International Airport (ATL),33.6407,-84.4277
San Francisco International Airport (SFO),37.6213,-122.379
Seattle-Tacoma International Airport (SEA),47.4502,-122.3088
Miami International Airport (MIA),25.7959,-80.287
Orlando International Airport (MCO),28.4294,-81.3089
Las Vegas McCarran International Airport (LAS),36.084,-115.1537
Phoenix Sky Harbor International Airport (PHX),33.4342,-112.0116
Houston George Bush Intercontinental Airport (IAH),29.9902,-95.3368
Boston Logan International Airport (BOS),42.3656,-71.0096
Charlotte Douglas International Airport (CLT),35.214,-80.9431
